,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
2098,Rp 534 Juta,Cicilan: 2 Jutaan per bulan,"Cicilan 2,2jtan Modal 5jt Rumah Gress Cantik Di Bandung Soreang Dkt Lingkar Luar 26rg85","Katapang, Bandung",3,2,0,LT : 60 m²,LB : 50 m²
2099,"Rp 1,45 Miliar",Cicilan: 5 Jutaan per bulan,Rumah 2 Lantai Bagus Shm Di Arcamanik Kota Bandung,"Arcamanik, Bandung",3,2,1,LT : 158 m²,LB : 257 m²
2100,"Rp 1,05 Miliar",Cicilan: 4 Jutaan per bulan,Jual Rumah Cantik Minimalis  Taman Kopo Katapang Soreang Soroja,"Kopo, Bandung",3,2,1,LT : 112 m²,LB : 90 m²
2101,Rp 600 Juta,Cicilan: 2 Jutaan per bulan,"Rumah Baru City View Dp Allin 10jt Cicilan 2,5jtan Di Bandung Pasirimpun Dkt Antapani 3rg85","Cikutra, Bandung",3,2,0,LT : 60 m²,LB : 41 m²
2102,Rp 20 Miliar,Cicilan: 80 Jutaan per bulan,Rumah Kost Aktif Ex Hotel Cihampelas Bandung Hanya Hitung Tanah,"Cihampelas, Bandung",31,31,2,LT : 500 m²,LB : 900 m²
2103,"Rp 6,5 Miliar",Cicilan: 26 Jutaan per bulan,Rumah Hook Grand Nayapati Residence Kota Baru Parahyangan,"Kota Baru Parahyangan, Bandung",4,3,2,LT : 371 m²,LB : 274 m²
2104,Rp 20 Miliar,Cicilan: 80 Jutaan per bulan,Dijual Termurah Rumah Jalan Bengawan,"Riau, Bandung",5,5,0,LT : 720 m²,LB : 1000 m²
2105,"Rp 1,6 Miliar",Cicilan: 6 Jutaan per bulan,"Rumah 2 Lantai Bagus Unfurnished SHM di Antapani, Bandung","Antapani, Bandung",4,3,1,LT : 278 m²,LB : 230 m²
2106,Rp 9 Miliar,Cicilan: 36 Jutaan per bulan,"Rumah 3 Lantai Minimalis Mewah Mainroad di Setra Duta, Bandung","Setra Duta, Bandung",4,5,0,LT : 300 m²,LB : 600 m²
2107,"Rp 2,97 Miliar",Cicilan: 11 Jutaan per bulan,"Rumah Baru 2 Lantai Modern Minimalis Cluster Setra Duta, Bandung","Setra Duta, Bandung",3,3,2,LT : 115 m²,LB : 165 m²
2108,"Rp 1,1 Miliar",Cicilan: 4 Jutaan per bulan,Rumah Bagus 2 Lantai SHM Di Antapani Kota Bandung,"Antapani, Bandung",3,2,1,LT : 112 m²,LB : 90 m²
2109,Rp 32 Miliar,Cicilan: 128 Jutaan per bulan,RUMAH BELANDA di Lokasi Premium Sayap Riau,"Riau, Bandung",8,4,15,LT : 1011 m²,LB : 600 m²
2110,Rp 950 Juta,Cicilan: 3 Jutaan per bulan,"Rumah Bagus Unfurnished Sertifikat Hak Milik di Antapani,bandung","Antapani, Bandung",2,2,1,LT : 106 m²,LB : 70 m²
2111,"Rp 2,9 Miliar",Cicilan: 11 Jutaan per bulan,Dijual Rumah Murah Hook Puri Dago Antapani Dekat Griya Arcamanik Bandung,"Antapani, Bandung",4,3,2,LT : 232 m²,LB : 160 m²
2112,"Rp 1,37 Miliar",Cicilan: 5 Jutaan per bulan,Rumah di Summarecon Bandung siap huni,"Summarecon Bandung, Bandung",2,2,0,LT : 77 m²,LB : 62 m²
2113,"Rp 1,93 Miliar",Cicilan: 7 Jutaan per bulan,Rumah Siap Huni Murah Di Tatar Wangsakerta Kota Baru Parahyangan,"Kota Baru Parahyangan, Bandung",2,2,1,LT : 126 m²,LB : 110 m²
2114,"Rp 1,6 Miliar",Cicilan: 6 Jutaan per bulan," Rumah Shm - Sertifikat Hak Milik Di Tki 3, Taman Kopo Indah","Taman Kopo Indah, Bandung",2,1,1,LT : 144 m²,LB : 65 m²
2115,Rp 9 Miliar,Cicilan: 36 Jutaan per bulan,"Rumah Villa Sangat Asri Dan Keren di Dago Giri Maribaya, Bandung","Sayap Dago, Bandung",4,3,2,LT : 800 m²,LB : 550 m²
2116,Rp 14 Miliar,Cicilan: 56 Jutaan per bulan,"Luxurious Rumah Villa Furnished di Dago Giri Atas, Bandung Utara","Sayap Dago, Bandung",5,7,6,LT : 980 m²,LB : 500 m²
