,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
1552,Rp 700 Juta,Cicilan: 2 Jutaan per bulan,Rumah Minimalis Siap Huni Dalam Komplek Cisaranten Arcamanik,"Arcamanik, Bandung",2,1,1,LT : 72 m²,LB : 38 m²
1553,"Rp 1,65 Miliar",Cicilan: 6 Jutaan per bulan,Rumah di Komplek Taman Holis Indah I Fasilitas Lengkap,"Holis Cigondewah, Bandung",3,3,0,LT : 153 m²,LB : 178 m²
1554,"Rp 3,95 Miliar",Cicilan: 16 Jutaan per bulan,Jual Rumah Minimalis Modern Baru Setra Duta Shm,"Setra Duta, Bandung",4,3,1,LT : 176 m²,LB : 250 m²
1555,"Rp 4,33 Miliar",Cicilan: 18 Jutaan per bulan,"15048 Rumah Halaman Luas Aman Nyaman di Sangkali Pasir Kerenceng, Soreang","Soreang, Bandung",2,2,1,LT : 289 m²,LB : 100 m²
1556,"Rp 3,25 Miliar",Cicilan: 13 Jutaan per bulan,Dijual Semifurnish Rumah Asri Minimalis Masih Baru di Ciateul Tengah Kota Bandung,"Ciateul, Bandung",5,3,2,LT : 237 m²,LB : 270 m²
1557,"Rp 1,59 Miliar",Cicilan: 6 Jutaan per bulan,Rumah Baru 2 Lantai Minimalis Modern Siap Huni di Mustika Residence Bandung,"Geger Kalong, Bandung",4,3,2,LT : 108 m²,LB : 120 m²
1558,Rp 695 Juta,Cicilan: 2 Jutaan per bulan,Dijual Murah Rumah Siaphuni Hrg695 Luas100/100 Di Padasuka Cimahi Kota,"Padasuka, Bandung",1,1,0,LT : 100 m²,LB : 100 m²
1559,"Rp 2,8 Miliar",Cicilan: 11 Jutaan per bulan,Rumah Hitung Tanah Saja Lokasi Strategis di Cikutra,"Cikutra, Bandung",6,3,1,LT : 267 m²,LB : 166 m²
1560,"Rp 2,75 Miliar",Cicilan: 11 Jutaan per bulan,Dijual cepat rumah mewah terawat di Batununggal Bandung ,"Batununggal, Bandung",3,3,2,LT : 170 m²,LB : 300 m²
1561,"Rp 4,2 Miliar",Cicilan: 17 Jutaan per bulan,Dijual Murah Rumah Sayap Rajawali Bandung,"Bandung Kota, Bandung",7,4,2,LT : 364 m²,LB : 500 m²
1562,"Rp 3,5 Miliar",Cicilan: 14 Jutaan per bulan,Rumah Baru Beres Renovasi Full Furnished Nyaman Siap Huni Lokasi di Setraduta Bandung ,"Setra Duta, Bandung",3,3,1,LT : 144 m²,LB : 250 m²
1563,"Rp 3,5 Miliar",Cicilan: 14 Jutaan per bulan,Rumah Baru Beres Renovasi Full Furnished Nyaman Siap Huni Lokasi di Setraduta Bandung ,"Setra Duta, Bandung",3,3,1,LT : 144 m²,LB : 250 m²
1564,"Rp 1,7 Miliar",Cicilan: 7 Jutaan per bulan,10217 Rumah Strategis Nyaman Dihuni di Taman Kopo Katapang,"Katapang, Bandung",4,2,1,LT : 140 m²,LB : 250 m²
1565,Rp 800 Juta,Cicilan: 3 Jutaan per bulan,16799 Rumah Lingkungan Tenang Dan Nyaman di Taman Kopo Katapang,"Katapang, Bandung",2,1,1,LT : 98 m²,LB : 60 m²
