,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
6153,"Rp 3,3 Miliar",Cicilan: 12 Jutaan per bulan,No Data,"BKR, Bandung",7,5,0,LT : 228 m²,LB : 350 m²
6154,"Rp 3,3 Miliar",Cicilan: 12 Jutaan per bulan,No Data,"BKR, Bandung",7,5,0,LT : 228 m²,LB : 350 m²
6155,"Rp 3,3 Miliar",Cicilan: 12 Jutaan per bulan,No Data,"BKR, Bandung",7,5,0,LT : 228 m²,LB : 350 m²
6156,"Rp 3,6 Miliar",Cicilan: 13 Jutaan per bulan,No Data,"Summarecon Bandung, Bandung",4,3,1,LT : 144 m²,LB : 200 m²
6157,"Rp 3,6 Miliar",Cicilan: 13 Jutaan per bulan,No Data,"Summarecon Bandung, Bandung",4,3,1,LT : 144 m²,LB : 200 m²
6158,Rp 3 Miliar,Cicilan: 11 Jutaan per bulan,No Data,"Muara, Bandung",3,2,0,LT : 220 m²,LB : 200 m²
6159,Rp 975 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",2,1,0,LT : 69 m²,LB : 54 m²
6160,Rp 8 Miliar,Cicilan: 30 Jutaan per bulan,No Data,"Pasir Koja, Bandung",8,4,3,LT : 620 m²,LB : 260 m²
6161,Rp 11 Miliar,Cicilan: 42 Jutaan per bulan,No Data,"Pasir Kaliki, Bandung",12,4,0,LT : 440 m²,LB : 360 m²
6162,"Rp 1,55 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Buah Batu, Bandung",3,1,1,LT : 84 m²,LB : 60 m²
6163,Rp 28 Miliar,Cicilan: 107 Jutaan per bulan,No Data,"Pasir Kaliki, Bandung",4,3,0,LT : 627 m²,LB : 172 m²
6164,Rp 799 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Buah Batu, Bandung",2,1,0,LT : 93 m²,LB : 52 m²
6165,"Rp 7,5 Miliar",Cicilan: 28 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",2,2,1,LT : 399 m²,LB : 500 m²
6166,"Rp 4,5 Miliar",Cicilan: 17 Jutaan per bulan,No Data,"Turangga, Bandung",6,3,1,LT : 286 m²,LB : 280 m²
6167,"Rp 4,5 Miliar",Cicilan: 17 Jutaan per bulan,No Data,"Turangga, Bandung",6,3,1,LT : 286 m²,LB : 280 m²
6168,"Rp 1,5 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Margahayu, Bandung",3,2,0,LT : 102 m²,LB : 202 m²
6169,"Rp 2,25 Miliar",Cicilan: 8 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",3,2,0,LT : 200 m²,LB : 200 m²
6170,"Rp 1,6 Miliar",Cicilan: 6 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",2,3,1,LT : 240 m²,LB : 200 m²
6171,Rp 3 Miliar,Cicilan: 11 Jutaan per bulan,No Data,"Pajajaran, Bandung",3,2,1,LT : 139 m²,LB : 110 m²
6172,"Rp 16,5 Miliar",Cicilan: 63 Jutaan per bulan,No Data,"Sumurbandung, Bandung",3,1,4,LT : 445 m²,LB : 257 m²
6173,"Rp 7,5 Miliar",Cicilan: 28 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",5,4,2,LT : 400 m²,LB : 600 m²
6174,Rp 742 Juta,Cicilan: 2 Jutaan per bulan,No Data,No Data,4,2,0,LT : 140 m²,LB : 120 m²
6175,"Rp 1,2 Miliar",Cicilan: 4 Jutaan per bulan,No Data,"Baleendah, Bandung",4,2,0,LT : 210 m²,LB : 150 m²
6176,"Rp 1,15 Miliar",Cicilan: 4 Jutaan per bulan,No Data,"Buah Batu, Bandung",2,2,0,LT : 105 m²,LB : 75 m²
6177,"Rp 1,5 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Garuda, Bandung",5,2,1,LT : 161 m²,LB : 226 m²
6178,"Rp 6,5 Miliar",Cicilan: 24 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",5,4,0,LT : 280 m²,LB : 450 m²
